Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2026.08.04 17:23:00;Sell;0.04;EURUSD;1.15266;0.04;2026.08.04 17:48:00;1.15197;;;2.4
2026.08.04 17:23:01;Buy;0.02;XAUUSD;4082.93;0.02;2026.08.04 17:48:00;4078.97;;;-6.88
2026.08.03 22:27:01;Buy;0.04;EURUSD;1.15134;0.04;2026.08.04 04:32:01;1.15107;;-0.29;-0.94
2026.08.03 22:27:01;Sell;0.02;XAUUSD;4053.7;0.02;2026.08.04 04:32:00;4050.08;;0.64;6.29
2026.07.31 18:27:00;Sell;0.04;EURUSD;1.15044;0.04;2026.08.03 02:17:53;1.15455;;0.05;-14.24
2026.07.31 18:27:01;Buy;0.02;XAUUSD;4043.04;0.02;2026.08.03 02:17:52;4069.17;;-0.96;45.27
2026.07.31 16:37:00;Buy;0.04;EURUSD;1.14743;0.04;2026.07.31 17:38:01;1.14863;;;4.18
2026.07.31 16:37:01;Sell;0.02;XAUUSD;4034.35;0.02;2026.07.31 17:38:00;4041.42;;;-12.31
2026.07.31 14:17:01;Buy;0.04;EURUSD;1.14961;0.04;2026.07.31 16:00:25;1.14882;;;-2.75
2026.07.31 14:17:01;Sell;0.02;XAUUSD;4055.73;0.02;2026.07.31 16:00:24;4036.54;;;33.41
2026.07.31 11:50:00;Sell;0.04;EURUSD;1.15143;0.04;2026.07.31 12:37:01;1.15069;;;2.57
2026.07.31 11:50:01;Buy;0.02;XAUUSD;4061.69;0.02;2026.07.31 12:37:00;4050.91;;;-18.74
2026.07.31 10:52:00;Sell;0.04;EURUSD;1.15196;0.04;2026.07.31 11:33:01;1.15066;;;4.52
2026.07.31 10:52:01;Buy;0.02;XAUUSD;4071.69;0.02;2026.07.31 11:33:01;4057.55;;;-24.58
2026.07.30 21:49:01;Sell;0.04;EURUSD;1.15324;0.04;2026.07.30 22:18:01;1.15321;;;0.1
2026.07.30 21:49:01;Buy;0.02;XAUUSD;4101.24;0.02;2026.07.30 22:18:00;4112.24;;;19.08
2026.07.30 07:42:01;Sell;0.04;EURUSD;1.14532;0.04;2026.07.30 10:18:00;1.14439;;;3.25
2026.07.30 07:42:01;Buy;0.02;XAUUSD;4048.42;0.02;2026.07.30 10:18:00;4049.08;;;1.15
2026.07.29 22:02:00;Sell;0.04;EURUSD;1.14534;0.04;2026.07.30 01:57:01;1.14715;;0.24;-6.31
2026.07.29 22:02:00;Buy;0.02;XAUUSD;4114.34;0.02;2026.07.30 01:57:01;4089.41;;-2.96;-43.47
2026.07.27 22:12:00;Buy;0.04;EURUSD;1.13683;0.04;2026.07.28 01:30:01;1.13689;;-0.29;0.21
2026.07.27 22:12:00;Sell;0.02;XAUUSD;4081.36;0.02;2026.07.28 01:30:01;4072.5;;0.65;15.59
2026.07.27 14:09:00;Buy;0.04;EURUSD;1.13926;0.04;2026.07.27 15:19:33;1.13849;;;-2.71
2026.07.27 14:09:00;Sell;0.02;XAUUSD;4102.77;0.02;2026.07.27 15:19:33;4083.8;;;33.32
2026.07.24 04:02:00;Sell;0.04;EURUSD;1.13855;0.04;2026.07.24 07:42:01;1.13789;;;2.32
2026.07.24 04:02:00;Buy;0.02;XAUUSD;4044.68;0.02;2026.07.24 07:42:01;4026.8;;;-31.43
2026.07.23 17:49:00;Buy;0.04;EURUSD;1.13687;0.04;2026.07.23 18:14:01;1.13728;;;1.44
2026.07.23 17:49:01;Sell;0.02;XAUUSD;4059.85;0.02;2026.07.23 18:14:00;4051.46;;;14.75
2026.07.21 15:26:01;Buy;0.04;EURUSD;1.14156;0.04;2026.07.21 17:15:01;1.14181;;;0.88
2026.07.21 15:26:01;Sell;0.02;XAUUSD;4061.22;0.02;2026.07.21 17:15:00;4065.99;;;-8.35
2026.07.16 23:32:00;Sell;0.04;EURUSD;1.14434;0.04;2026.07.17 02:59:01;1.14451;;0.05;-0.59
2026.07.16 23:32:01;Buy;0.02;XAUUSD;3974.52;0.02;2026.07.17 02:59:01;3984.97;;-0.92;18.26
2026.07.16 17:53:01;Buy;0.04;EURUSD;1.14421;0.04;2026.07.16 20:50:01;1.14359;;;-2.17
2026.07.16 17:53:01;Sell;0.02;XAUUSD;3995.74;0.02;2026.07.16 20:50:00;3985.16;;;18.5
2026.07.14 15:34:00;Sell;0.04;EURUSD;1.14493;0.04;2026.07.14 17:30:01;1.14447;;;1.6099999999999999
2026.07.14 15:34:00;Buy;0.02;XAUUSD;4095.55;0.02;2026.07.14 17:30:01;4076.86;;;-32.67
2026.07.14 08:56:00;Buy;0.04;EURUSD;1.1392;0.04;2026.07.14 09:34:01;1.13926;;;0.21
2026.07.14 08:56:00;Sell;0.02;XAUUSD;4031.45;0.02;2026.07.14 09:34:01;4024.93;;;11.45
2026.07.10 20:21:01;Buy;0.04;EURUSD;1.14253;0.04;2026.07.13 01:32:13;1.13943;;-0.28;-10.88
2026.07.10 20:21:01;Sell;0.02;XAUUSD;4106.17;0.02;2026.07.13 01:32:13;4083.07;;0.66;40.54
2026.07.08 09:31:00;Sell;0.04;EURUSD;1.14219;0.04;2026.07.08 12:14:01;1.13985;;;8.21
